06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
Polychlorinated Biphenyls,D011078,,Esophageal Neoplasms,MESH:D004938,,MT1G,22.62,,17068819
Dietary Fats,D004041,,"Carcinoma, Hepatocellular",MESH:D006528,,CFP,258.74,,28284560
Streptozocin,D013311,18883-66-4,Thrombophilia,MESH:D019851,,THBD,4.13,,12139752
pirfenidone,C093844,53179-13-8,Diarrhea,MESH:D003967,,ABCC2,2.82,,32387182
Sodium Chloride,D012965,,"Mammary Neoplasms, Experimental",MESH:D008325,,S100A6,86.17,,16316942
PF 3758309,C550923,,Ovarian Cysts,MESH:D010048,,NFKB1,3.81,,21239663
2-chloro-5-nitrobenzanilide,C457499,,Cerebral Infarction,MESH:D002544,,PLAU,7.81,,12133459|16773802
Vehicle Emissions,D001335,,Prostatic Neoplasms,MESH:D011471,,MLH1,270.75,,15583422
bisphenol F,C000611646,,"Liver Cirrhosis, Experimental",MESH:D008106,,CYRIA,544.88,,25380136
Dinoprost,D015237,551-11-1,Carcinoma,MESH:D002277,,YWHAZ,27.7,,12376462
nevadensin,C023982,10176-66-6,"Rhinitis, Allergic",MESH:D065631,,CAT,4.26,,29028686
pyrene,C030984,129-00-0,"Neoplasm Recurrence, Local",MESH:D009364,,AR,12.88,,11742035
Dronabinol,D013759,,"Hyperparathyroidism, Secondary",MESH:D006962,,IL6,2.71,,21350317
Probucol,D011341,23288-49-5,"Abnormalities, Drug-Induced",MESH:D000014,,CAT,2.44,,21252394|26074427
aflatoxin B2,C029753,22040-96-6,"Disease Models, Animal",MESH:D004195,,SH3PXD2B,5.95,,28719234
iodoresiniferatoxin,C468130,,"Hypertension, Pulmonary",MESH:D006976,,CALCA,4.59,,1357980
nickel monoxide,C028007,1313-99-1,Respiratory Hypersensitivity,MESH:D012130,,HSPA5,5.23,,24211530
FV-429 compound,C569690,,No-Reflow Phenomenon,MESH:D054318,,CTNNB1,5.2,,16824628
beta-Glucans,D047071,,Psoriasis,MESH:D011565,,TNF,18.94,,16844318|7744320
benzo(k)fluoranthene,C022921,207-08-9,Colonic Neoplasms,MESH:D003110,,HMGCS2,11.47,,15059925|27816970
alpha-pentyl-3-(2-quinolinylmethoxy)benzenemethanol,C049740,101910-24-1,"Ventricular Dysfunction, Left",MESH:D018487,,INS,4.15,,11872684
chrysin,C043561,480-40-0,Hypercholesterolemia,MESH:D006937,,APOB,11.9,,1600334
Okadaic Acid,D019319,78111-17-8,Polycystic Ovary Syndrome,MESH:D011085,,TTK,49.43,,21411543
Phenprocoumon,D010644,435-97-2,Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency,MESH:C563654,,GGCX,6.86,610842,
Levamisole,D007978,14769-73-4,Anemia,MESH:D000740,,IL2,7.07,,7678812
Iodine,D007455,7553-56-2,Fever,MESH:D005334,,TNF,7.75,,10379864|11852909|15384034
Moxifloxacin,D000077266,,"Leishmaniasis, Visceral",MESH:D007898,,IFNG,23.32,,1901333|7854095
liquiritigenin,C083152,,Disease Progression,MESH:D018450,,NFE2L2,17.73,,32621833
6-hydroxy-5-((p- sulfophenyl)azo)-2-naphthalenesulfonic acid disodium salt,C005842,,Myocardial Ischemia,MESH:D017202,,TUBA1A,21.08,,16214533
Gentamicins,D005839,,Osteosarcoma,MESH:D012516,,KCNH1,12.95,,22248279
Lipopolysaccharides,D008070,,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5",OMIM:611064,,IRAK3,4.27,611064,
ruxolitinib,C540383,,"Mammary Neoplasms, Experimental",MESH:D008325,,CCND1,9.69,,12376462|14522882|16316942
Geraniin,C024603,60976-49-0,Ovarian Neoplasms,MESH:D010051,,FASN,22.55,,21442130
chromium hexavalent ion,C074702,18540-29-9,Breast Neoplasms,MESH:D001943,,UBE2C,171.97,,17659439
Tacrolimus,D016559,109581-93-3,Non-alcoholic Fatty Liver Disease,MESH:D065626,,C1QC,34.54,,35789393
Oxygen,D010100,7782-44-7,WEBB-DATTANI SYNDROME,OMIM:615926,,ARNT2,4.27,615926,
Parathion,D010278,56-38-2,Obesity,MESH:D009765,,PPARD,35.91,,16168052|20176998
Acrolein,D000171,107-02-8,Colonic Polyps,MESH:D003111,,TRPM7,5.32,,17823441
Betamethasone,D001623,378-44-9,"Brain Injuries, Traumatic",MESH:D000070642,,PTGS2,3.58,,28642177
Nitrates,D009566,,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,MESH:D015452,,PAX5,4.02,,24013638|30643249
CRT 0066101,C551536,,Arsenic Poisoning,MESH:D020261,,TRA2A,10.43,,16835338
Dichlorvos,D004006,62-73-7,Oliver-McFarlane syndrome,MESH:C536554,,PNPLA6,5.66,275400,
"N-(1,3-dimethylbutyl)-N'-phenyl-1,4-phenylenediamine",C016096,793-24-8,"Muscular Dystrophy, Facioscapulohumeral",MESH:D020391,,CDKN1A,7.24,,12868502
Emodin,D004642,518-82-1,Prostatic Neoplasms,MESH:D011471,,FASLG,158.35,,17875776
BAY 11-7085,C416282,,Hyperemia,MESH:D006940,,PTGS2,12.05,,11820457
"4-chloro-N-((4-(1,1-dimethylethyl)phenyl)methyl)-3-ethyl-1-methyl-1H-pyrazole-5-carboxamide",C429623,119168-77-3,Calcinosis,MESH:D002114,,SNAI2,3.15,,29358327
T-2 Toxin,D013605,21259-20-1,Hypercholesterolemia,MESH:D006937,,ABCA1,1.93,,22022523
"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",D015123,55097-80-8,Autism Spectrum Disorder,MESH:D000067877,,BDNF,68.5,,24781735
Aluminum,D000535,7429-90-5,Pruritus,MESH:D011537,,OPRM1,3.3,,27192616
annonacin,C053442,,"Diabetes Mellitus, Experimental",MESH:D003921,,BCL2,14.07,,16959961|23090186
Diuron,D004237,330-54-1,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,,CYP1A2,4.75,,22674224
1-Methyl-4-phenylpyridinium,D015655,48134-75-4,Craniofacial Abnormalities,MESH:D019465,,NOTCH1,17.21,,17849441
paricalcitol,C084656,,Ureteral Obstruction,MESH:D014517,,COL3A1,40.41,,17164399
testosterone undecanoate,C010792,,Endomyocardial Fibrosis,MESH:D004719,,ACE2,3.46,,19221212
Glucose,D005947,50-99-7,"Mammary Neoplasms, Animal",MESH:D015674,,FN1,87.28,,12376462
monodansylcadaverine,C008542,10121-91-2,Depressive Disorder,MESH:D003866,,IL6,5.01,,18458677
Ethinyl Estradiol,D004997,57-63-6,Leiomyoma,MESH:D007889,,SFRP1,2.55,,15972578
guggulu extract,C018562,,Pancreatic Neoplasms,MESH:D010190,,PTGS2,6.98,,10485483|10657949|15705899|16820089
Thiram,D013893,137-26-8,Breast Neoplasms,MESH:D001943,,FOXM1,115.73,,20208560
Phosgene,D010705,75-44-5,Anorexia,MESH:D000855,,TNF,3.06,,25392278
xiongshao,C528128,,Skin Neoplasms,MESH:D012878,,MMP9,3.32,,18572023
